0_x,0_y,1_x,1_y,2_x,2_y
201.929014,2.631781,200.655201,1.612778,200.909963,1.612778
202.693301,2.886532,202.438539,3.650784,203.967114,3.396033
206.005215,3.141282,204.221877,2.377030,204.731402,3.396033
206.769502,3.396033,205.750452,3.905535,206.769502,3.905535
210.081416,2.886532,207.533790,3.396033,208.807603,3.650784
211.100466,4.160285,210.590941,3.650784,211.100466,4.160285
213.138567,4.669787,211.864754,4.415036,212.629041,4.415036
214.921905,5.943541,214.157617,4.669787,214.667142,3.905535
217.214768,4.924538,215.686192,4.924538,216.450480,5.943541
219.507631,6.453042,217.469530,5.434039,218.488580,5.179289
219.762393,5.434039,218.998106,6.962544,220.781444,5.943541
223.329069,6.707793,221.290969,6.198292,221.290969,6.707793
223.838594,7.217295,223.838594,7.472045,224.348119,6.707793
227.150508,7.472045,224.348119,6.453042,225.367170,7.726796
227.405270,8.491048,227.660033,8.236298,228.933846,7.981547
230.207658,7.981547,227.914795,8.236298,228.933846,8.745799
231.990996,9.000550,230.971946,8.491048,231.481471,7.726796
234.029097,7.981547,232.245759,8.491048,233.264809,9.510051
235.557672,9.764802,234.538622,9.000550,235.302910,8.236298
237.341010,9.000550,236.321960,9.000550,237.341010,10.019553
240.143398,9.255301,238.614823,8.745799,238.105298,8.745799
240.652924,9.510051,240.652924,9.764802,241.671974,9.510051
243.964837,8.236298,241.162449,8.236298,242.436262,9.764802
244.474362,10.274304,244.729125,9.510051,245.748175,9.510051
246.767225,9.255301,244.983887,9.255301,245.748175,10.019553
248.550563,10.274304,248.295801,9.255301,248.550563,8.745799
250.588664,8.491048,248.550563,9.255301,250.333901,9.764802
253.645814,9.510051,251.862476,9.000550,251.862476,8.236298
254.410102,7.981547,253.391052,9.510051,253.900577,9.764802
256.957728,8.745799,255.174390,7.981547,256.193440,8.236298
257.467253,7.981547,256.957728,9.000550,258.995828,8.236298
260.779166,7.726796,258.741066,7.472045,258.995828,7.726796
261.288691,7.472045,260.779166,8.236298,262.052979,7.217295
263.581554,6.198292,261.798216,7.217295,262.817267,6.707793
265.619655,6.962544,265.110130,7.472045,265.874417,6.453042
267.402993,5.688790,265.364892,6.453042,266.383943,7.217295
269.441093,5.943541,269.186331,5.688790,268.676806,4.669787
270.969669,5.179289,269.950619,5.688790,270.714906,5.688790
273.772057,4.924538,271.479194,5.179289,272.753007,3.905535
274.281582,4.924538,273.517294,5.434039,274.281582,5.179289
273.517294,4.669787,274.536345,3.650784,273.262532,4.415036
269.950619,4.924538,272.243482,4.924538,271.733956,5.688790
268.931568,5.688790,269.695856,5.434039,268.167281,5.179289
266.383943,6.453042,267.148230,5.943541,266.129180,5.943541
263.836317,5.943541,264.600605,5.943541,263.836317,6.707793
261.543454,7.981547,263.326792,6.707793,262.052979,6.707793
259.250591,6.962544,259.760116,7.472045,259.760116,7.726796
257.212490,7.981547,258.741066,7.726796,256.702965,7.472045
254.155340,7.981547,255.683915,9.000550,254.919627,8.491048
253.136289,9.000550,253.900577,7.981547,252.372002,7.472045
249.569613,9.000550,251.862476,9.510051,250.843426,9.000550
248.805326,9.255301,249.314851,8.236298,247.786275,9.510051
245.493412,10.019553,247.531513,9.000550,247.021988,9.000550
243.710074,8.491048,244.474362,9.510051,243.455312,9.000550
241.417211,10.019553,243.455312,9.510051,242.945787,9.255301
239.888636,8.491048,240.398161,9.255301,239.379111,9.255301
237.341010,10.019553,238.614823,9.255301,237.850535,8.236298
234.283859,9.000550,236.321960,9.000550,235.302910,9.764802
233.774334,9.255301,234.793385,8.491048,233.264809,8.236298
230.462421,8.491048,231.990996,9.255301,231.226709,9.510051
229.188608,7.726796,230.207658,7.472045,228.933846,7.726796
225.876695,8.745799,227.660033,8.745799,227.914795,8.236298
224.348119,7.472045,225.621932,7.217295,224.602882,7.217295
222.310019,7.726796,223.583832,7.726796,223.329069,6.962544
220.017156,5.688790,221.036206,6.707793,219.762393,6.453042
217.979055,6.453042,220.017156,6.198292,218.743343,5.434039
215.431430,5.434039,216.450480,6.198292,216.450480,6.198292
214.667142,4.924538,215.686192,5.434039,213.902854,4.669787
211.100466,4.669787,212.629041,5.434039,211.864754,5.434039
210.336178,4.160285,210.590941,3.650784,210.081416,3.396033
206.769502,4.160285,208.807603,4.415036,208.298078,3.905535
205.495690,2.631781,206.514740,2.631781,205.240927,3.141282
203.202827,3.396033,205.240927,3.905535,204.221877,2.886532
201.164726,2.122279,201.674251,2.122279,200.909963,2.377030
199.126626,2.886532,200.909963,3.396033,200.145676,2.377030
197.088525,1.867529,197.598050,2.377030,196.579000,2.886532
195.559950,2.631781,196.324237,2.631781,195.050425,1.612778
192.248036,2.886532,193.776612,2.377030,193.267087,2.886532
191.483749,2.631781,191.993274,2.631781,191.228986,2.122279
187.917073,3.396033,190.209936,2.631781,189.190886,3.396033
187.407548,2.377030,187.917073,2.122279,186.898022,2.377030
184.605159,3.905535,185.878972,3.905535,185.624210,3.650784
182.567059,3.141282,183.586109,2.886532,182.312296,3.396033
180.783721,4.669787,181.548009,3.905535,181.293246,4.160285
178.490858,3.650784,179.000383,4.160285,177.981333,5.434039
176.197995,4.924538,177.981333,4.669787,177.471808,4.415036
173.905132,5.179289,174.924182,4.669787,174.669419,5.943541
173.140844,5.688790,174.159894,5.434039,172.631319,4.924538
170.338456,6.198292,170.847981,6.453042,170.338456,7.217295
168.045593,6.707793,169.319405,6.198292,168.045593,6.198292
166.517017,6.962544,167.281305,7.726796,167.026542,7.981547
164.224154,7.726796,165.243204,6.707793,163.714629,6.707793
162.950341,9.000550,163.969392,8.745799,162.950341,7.726796
159.383665,8.236298,160.402716,7.472045,159.638428,7.981547
157.855090,9.255301,160.147953,9.000550,158.619378,8.236298
156.071752,8.745799,156.581277,8.745799,156.326515,9.000550
154.543177,9.000550,156.071752,9.000550,154.543177,9.000550
151.486026,9.510051,153.014601,9.000550,152.250314,9.510051
150.976501,9.000550,151.231263,9.255301,149.702688,8.491048
147.409825,9.510051,149.193163,9.255301,148.683638,10.019553
146.645537,9.000550,147.155062,9.000550,145.371724,8.745799
143.588386,10.274304,145.116962,10.019553,145.116962,10.274304
141.805048,7.981547,143.078861,8.745799,142.059811,9.510051
140.531236,10.019553,141.040761,10.019553,140.276473,9.510051
136.964560,8.236298,138.747898,8.236298,138.238373,9.000550
136.455035,9.255301,137.728847,8.491048,135.945509,8.745799
133.652646,7.981547,134.162172,9.000550,134.162172,7.726796
132.888359,8.236298,133.907409,7.726796,132.124071,7.726796
129.321683,7.472045,130.595496,8.745799,130.340733,7.981547
128.047870,6.962544,129.066920,6.707793,128.302633,6.453042
126.009769,6.962544,126.774057,7.726796,126.774057,7.472045
123.971669,6.198292,124.990719,6.453042,123.716906,6.453042
121.933568,6.453042,123.207381,6.198292,122.697856,5.943541
119.895468,5.179289,121.169281,5.434039,119.640705,4.924538
118.112130,5.434039,119.640705,4.924538,118.366893,4.669787
116.074029,4.415036,116.328792,4.669787,116.074029,4.924538
114.545454,3.905535,116.074029,4.669787,114.800217,2.886532
111.233541,3.905535,112.507354,4.415036,112.507354,3.905535
110.469253,3.141282,111.997828,3.141282,110.724016,2.377030
107.412102,3.141282,109.195440,3.905535,108.431153,3.396033
106.647815,2.631781,107.412102,2.122279,106.393052,2.631781
103.845426,3.905535,105.374002,3.141282,104.354951,2.377030
